X,A,y
-1.204,1,16.245
0.487,1,18.732
-0.982,0,10.456
1.132,1,21.678
0.356,0,12.345
-1.347,0,9.876
0.743,1,19.456
-0.215,0,11.234
1.423,1,23.567
-0.678,0,10.987
0.912,1,20.345
-1.125,0,8.765
0.234,1,17.89
1.001,1,22.456
-0.456,0,11.678
0.678,1,19.89
-1.032,0,9.543
0.845,1,20.678
-0.789,0,10.234
1.234,1,22.345
-1.456,0,8.432
0.567,1,18.765
-0.345,0,11.89
1.345,1,23.456
-0.678,0,10.123
0.789,1,19.234
-1.234,0,9.876
0.456,1,18.456
1.5,1,24.678
-0.123,0,11.345
0.234,1,17.89
-1.5,0,8.765
0.89,1,20.123
1.234,1,22.89
-0.567,0,10.456
0.678,1,19.678
-1.345,0,9.234
0.123,1,16.789
1.456,1,23.567
-0.789,0,10.678
0.345,1,18.234
-1.012,0,9.876
0.567,1,19.89
1.345,1,22.456
-0.456,0,11.234
0.678,1,20.345
-1.234,0,8.765
0.89,1,19.678
1.5,1,24.123
-0.678,0,10.456
0.234,1,17.89
-1.345,0,9.543
0.456,1,18.765
1.234,1,22.89
-0.123,0,11.345
0.678,1,19.234
-1.5,0,8.432
0.789,1,20.678
1.345,1,23.456
-0.789,0,10.123
0.89,1,19.89
-1.234,0,9.876
0.567,1,18.456
1.456,1,24.678
-0.345,0,11.89
0.678,1,19.678
-1.012,0,9.234
0.123,1,16.789
1.234,1,22.345
-0.678,0,10.678
0.89,1,20.123
-1.345,0,8.765
0.456,1,18.765
1.5,1,23.567
-0.789,0,10.456
0.234,1,17.89
-1.234,0,9.543
0.678,1,19.89
1.345,1,22.456
-0.456,0,11.234
0.678,1,20.345
-1.012,0,9.876
0.89,1,19.678
1.456,1,24.123
-0.678,0,10.123
0.345,1,18.234
-1.5,0,8.432
0.789,1,20.678
1.234,1,22.89
-0.789,0,10.456
0.567,1,19.89
-1.234,0,9.876
0.678,1,18.456
1.345,1,23.567
-0.345,0,11.89
0.89,1,20.123
-1.012,0,9.543
0.123,1,16.789
1.234,1,22.345
-0.678,0,10.678
0.456,1,18.765
-1.345,0,8.765
0.678,1,19.678
1.5,1,24.678
-0.789,0,10.456
0.234,1,17.89
-1.234,0,9.876
0.89,1,20.123
1.345,1,22.456
-0.456,0,11.234
0.678,1,20.345
-1.012,0,9.234
0.123,1,16.789
1.234,1,22.89
-0.678,0,10.678
0.89,1,19.89
-1.345,0,9.876
0.567,1,18.456
1.456,1,24.123
-0.345,0,11.89
0.678,1,19.678
-1.5,0,8.432
0.789,1,20.678
1.234,1,22.345
-0.789,0,10.456
0.89,1,20.123
-1.234,0,9.543
0.456,1,18.765
1.345,1,23.567
-0.678,0,10.678
0.234,1,17.89
-1.012,0,9.876
0.678,1,19.89
1.5,1,24.678
-0.789,0,10.123
0.89,1,19.234
-1.345,0,9.876
0.567,1,18.456
1.234,1,22.89
-0.345,0,11.89
0.678,1,20.345
-1.5,0,8.432
0.789,1,20.678
1.345,1,23.456
-0.789,0,10.456
0.234,1,17.89
-1.234,0,9.543
0.678,1,19.89
1.456,1,24.123
-0.678,0,10.678
0.89,1,20.123
-1.012,0,9.876
0.123,1,16.789
