X,A,y
-0.234,1,5.182
0.874,1,7.198
-1.128,0,1.674
0.456,1,6.048
-0.678,0,2.134
1.234,1,8.456
-0.987,0,1.982
0.345,1,5.678
1.456,1,9.123
-1.345,0,0.876
0.678,1,6.789
-0.456,0,2.345
1.123,1,7.456
-0.789,0,1.543
0.234,1,5.123
1.345,1,8.789
-1.234,0,1.234
0.567,1,6.456
-0.123,0,2.456
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.123,1,5.456
1.5,1,8.123
-0.345,0,1.234
0.456,1,6.789
-1.5,0,0.789
0.678,1,7.456
1.234,1,8.789
-0.789,0,1.456
0.345,1,5.678
1.456,1,9.012
-1.234,0,1.345
0.567,1,6.123
-0.123,0,2.789
1.5,1,8.456
-0.678,0,1.234
0.789,1,7.789
-1.345,0,0.678
0.234,1,5.789
1.345,1,9.123
-0.456,0,1.567
0.678,1,6.456
-1.5,0,0.789
0.123,1,5.456
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.789
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
-0.123,0,2.456
0.678,1,6.789
-1.345,0,1.234
0.456,1,6.456
1.234,1,8.789
-0.789,0,1.456
0.567,1,6.123
-1.5,0,0.789
0.123,1,5.456
1.5,1,9.012
-0.678,0,1.234
0.789,1,7.456
-1.234,0,1.345
0.456,1,6.789
1.345,1,8.456
-0.345,0,1.678
0.678,1,6.123
-1.5,0,0.789
0.234,1,5.789
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.456
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
-0.123,0,2.456
0.678,1,6.789
-1.345,0,1.234
0.456,1,6.456
1.234,1,8.789
-0.789,0,1.456
0.567,1,6.123
-1.5,0,0.789
0.123,1,5.456
1.5,1,9.012
-0.678,0,1.234
0.789,1,7.456
-1.234,0,1.345
0.456,1,6.789
1.345,1,8.456
-0.345,0,1.678
0.678,1,6.123
-1.5,0,0.789
0.234,1,5.789
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.456
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
-0.123,0,2.456
0.678,1,6.789
-1.345,0,1.234
0.456,1,6.456
1.234,1,8.789
-0.789,0,1.456
0.567,1,6.123
-1.5,0,0.789
0.123,1,5.456
1.5,1,9.012
-0.678,0,1.234
0.789,1,7.456
-1.234,0,1.345
0.456,1,6.789
1.345,1,8.456
-0.345,0,1.678
0.678,1,6.123
-1.5,0,0.789
0.234,1,5.789
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.456
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
-0.123,0,2.456
0.678,1,6.789
-1.345,0,1.234
0.456,1,6.456
1.234,1,8.789
-0.789,0,1.456
0.567,1,6.123
-1.5,0,0.789
0.123,1,5.456
1.5,1,9.012
-0.678,0,1.234
0.789,1,7.456
-1.234,0,1.345
0.456,1,6.789
1.345,1,8.456
-0.345,0,1.678
0.678,1,6.123
-1.5,0,0.789
0.234,1,5.789
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.456
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
-0.123,0,2.456
0.678,1,6.789
-1.345,0,1.234
0.456,1,6.456
1.234,1,8.789
-0.789,0,1.456
0.567,1,6.123
-1.5,0,0.789
0.123,1,5.456
1.5,1,9.012
-0.678,0,1.234
0.789,1,7.456
-1.234,0,1.345
0.456,1,6.789
1.345,1,8.456
-0.345,0,1.678
0.678,1,6.123
-1.5,0,0.789
0.234,1,5.789
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.456
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
-0.123,0,2.456
0.678,1,6.789
-1.345,0,1.234
0.456,1,6.456
1.234,1,8.789
-0.789,0,1.456
0.567,1,6.123
-1.5,0,0.789
0.123,1,5.456
1.5,1,9.012
-0.678,0,1.234
0.789,1,7.456
-1.234,0,1.345
0.456,1,6.789
1.345,1,8.456
-0.345,0,1.678
0.678,1,6.123
-1.5,0,0.789
0.234,1,5.789
1.234,1,8.789
-0.789,0,1.234
0.456,1,6.456
-1.234,0,1.345
0.567,1,6.123
1.5,1,9.456
-0.678,0,1.678
0.789,1,7.123
-1.456,0,0.567
0.345,1,5.678
1.5,1,8.123
